centre_lat,centre_lon,sounding_count,ch4_bias_corrected_ppb,ch4_raw_ppb
31.0750,115.9250,0,,
31.0750,116.1750,0,,
31.0750,116.4250,0,,
31.0750,116.6750,0,,
31.0750,116.9250,86,1891.85,1882.11
31.0750,117.1750,220,1892.63,1880.58
31.0750,117.4250,179,1892.33,1878.64
31.0750,117.6750,152,1892.88,1878.19
31.0750,117.9250,96,1898.29,1885.46
31.0750,118.1750,197,1893.50,1880.30
31.0750,118.4250,258,1894.80,1882.00
31.0750,118.6750,190,1894.81,1883.28
31.0750,118.9250,44,1898.05,1883.18
31.0750,119.1750,156,1889.96,1878.35
31.0750,119.4250,181,1890.39,1878.84
31.0750,119.6750,40,1903.70,1891.45
31.0750,119.9250,39,1897.66,1885.25
31.0750,120.1750,5,1904.80,1882.71
31.0750,120.4250,0,,
31.0750,120.6750,24,1906.75,1892.73
31.0750,120.9250,25,1899.41,1885.29
31.0750,121.1750,90,1899.44,1889.04
31.0750,121.4250,46,1902.95,1893.95
31.0750,121.6750,62,1901.78,1893.22
31.0750,121.9250,3,1899.63,1891.71
31.0750,122.1750,11,1858.63,1851.51
31.0750,122.4250,12,1849.27,1842.18
30.8250,114.9250,176,1888.64,1879.46
30.8250,115.1750,100,1890.29,1880.44
30.8250,115.4250,45,1889.53,1878.80
30.8250,115.6750,35,1890.13,1877.64
30.8250,115.9250,0,,
30.8250,116.1750,0,,
30.8250,116.4250,2,1880.11,1870.32
30.8250,116.6750,119,1891.32,1880.22
30.8250,116.9250,145,1894.06,1882.74
30.8250,117.1750,26,1897.60,1879.99
30.8250,117.4250,42,1895.81,1882.64
30.8250,117.6750,65,1898.32,1883.73
30.8250,117.9250,118,1894.64,1880.72
30.8250,118.1750,169,1893.85,1879.27
30.8250,118.4250,189,1898.16,1884.48
30.8250,118.6750,151,1895.94,1881.79
30.8250,118.9250,150,1889.30,1876.15
30.8250,119.1750,135,1889.10,1874.65
30.8250,119.4250,90,1893.15,1882.54
30.8250,119.6750,153,1894.03,1880.89
30.8250,119.9250,100,1899.02,1884.97
30.8250,120.1750,92,1899.32,1884.17
30.8250,120.4250,103,1901.71,1889.58
30.8250,120.6750,110,1899.14,1887.49
30.8250,120.9250,111,1901.23,1890.29
30.8250,121.1750,117,1897.12,1884.55
30.8250,121.4250,34,1899.07,1889.53
30.8250,121.6750,10,1892.58,1884.69
30.8250,121.9250,0,,
30.8250,122.1750,4,1859.42,1852.29
30.8250,122.4250,6,1858.62,1851.49
30.5750,114.9250,89,1894.93,1885.62
30.5750,115.1750,196,1889.97,1880.38
30.5750,115.4250,147,1888.00,1876.33
30.5750,115.6750,32,1886.49,1869.85
30.5750,115.9250,4,1871.58,1854.42
30.5750,116.1750,8,1865.12,1842.05
30.5750,116.4250,124,1895.48,1884.79
30.5750,116.6750,262,1891.94,1880.67
30.5750,116.9250,131,1893.88,1881.60
30.5750,117.1750,9,1891.49,1876.96
30.5750,117.4250,77,1907.69,1892.35
30.5750,117.6750,49,1906.78,1890.06
30.5750,117.9250,52,1895.64,1881.47
30.5750,118.1750,31,1887.07,1871.93
30.5750,118.4250,38,1892.18,1877.87
30.5750,118.6750,7,1883.92,1863.87
30.5750,118.9250,97,1888.07,1872.08
30.5750,119.1750,61,1883.00,1867.78
30.5750,119.4250,39,1885.56,1868.49
30.5750,119.6750,57,1885.85,1872.40
30.5750,119.9250,57,1895.76,1880.69
30.5750,120.1750,107,1896.35,1880.92
30.5750,120.4250,119,1900.61,1889.22
30.5750,120.6750,102,1906.14,1894.92
30.5750,120.9250,60,1899.38,1886.99
30.5750,121.1750,2,1911.75,1898.06
30.5750,121.4250,10,1868.29,1861.12
30.5750,121.6750,5,1914.14,1896.97
30.5750,121.9250,3,1886.59,1879.35
30.5750,122.1750,1,1944.91,1937.45
30.5750,122.4250,1,1853.81,1846.70
30.3250,114.9250,38,1900.59,1888.98
30.3250,115.1750,77,1892.40,1881.26
30.3250,115.4250,172,1892.02,1881.69
30.3250,115.6750,67,1887.42,1876.49
30.3250,115.9250,18,1892.61,1881.51
30.3250,116.1750,136,1894.27,1882.71
30.3250,116.4250,162,1895.35,1883.14
30.3250,116.6750,65,1896.24,1883.86
30.3250,116.9250,42,1903.08,1887.71
30.3250,117.1750,78,1899.89,1882.60
30.3250,117.4250,14,1897.51,1881.96
30.3250,117.6750,5,1887.60,1865.50
30.3250,117.9250,2,1864.81,1845.60
30.3250,118.1750,12,1879.36,1862.31
30.3250,118.4250,9,1884.95,1869.30
30.3250,118.6750,9,1875.52,1857.32
30.3250,118.9250,7,1880.31,1860.51
30.3250,119.1750,9,1874.02,1858.56
30.3250,119.4250,33,1884.80,1865.93
30.3250,119.6750,48,1894.73,1879.09
30.3250,119.9250,108,1896.90,1882.85
30.3250,120.1750,60,1910.21,1897.11
30.3250,120.4250,17,1907.64,1898.51
30.3250,120.6750,2,1916.05,1903.83
30.3250,120.9250,2,1881.75,1857.15
30.3250,121.1750,15,1896.86,1886.95
30.3250,121.4250,6,1900.40,1892.92
30.3250,121.6750,4,1897.86,1890.58
30.3250,121.9250,3,1864.09,1856.95
30.3250,122.1750,3,1895.45,1880.77
30.3250,122.4250,0,,
30.0750,114.9250,74,1897.83,1887.80
30.0750,115.1750,3,1905.70,1886.96
30.0750,115.4250,77,1895.13,1883.90
30.0750,115.6750,67,1893.37,1883.22
30.0750,115.9250,80,1899.71,1888.88
30.0750,116.1750,63,1894.96,1885.78
30.0750,116.4250,5,1924.23,1905.09
30.0750,116.6750,29,1905.12,1896.48
30.0750,116.9250,40,1895.92,1880.74
30.0750,117.1750,16,1888.50,1874.05
30.0750,117.4250,1,1875.57,1848.00
30.0750,117.6750,3,1876.23,1856.19
30.0750,117.9250,11,1893.42,1869.43
30.0750,118.1750,0,,
30.0750,118.4250,24,1887.51,1871.35
30.0750,118.6750,9,1887.71,1872.40
30.0750,118.9250,0,,
