centre_lat,centre_lon,sounding_count,ch4_bias_corrected_ppb,ch4_raw_ppb,impervious_fraction,impervious_coverage,rice_fraction_single,rice_fraction_combined,rice_coverage,province_share_outside,share_anhui,share_jiangsu,share_shanghai,share_zhejiang
34.325,120.425,10,1875.92,1859.23,0.0,1.0007,0.0,0.0,0.0,1.0,,0.0,,
34.325,120.675,23,1860.22,1853.08,0.0,0.9996,,,0.0,1.0,,,,
34.325,120.925,14,1862.23,1855.09,0.0,1.0007,,,0.0,1.0,,,,
34.325,121.175,16,1859.64,1852.51,0.0,1.0007,,,0.0,1.0,,,,
34.325,121.425,20,1860.45,1853.31,0.0,0.9996,,,0.0,1.0,,,,
34.325,121.675,31,1852.86,1845.75,0.0,1.0007,,,0.0,1.0,,,,
34.325,121.925,47,1853.0,1845.89,0.0,1.0007,,,0.0,1.0,,,,
34.325,122.175,61,1854.73,1847.61,0.0,0.9996,,,0.0,1.0,,,,
34.325,122.425,76,1858.91,1851.78,0.0,1.0007,,,0.0,1.0,,,,
34.075,114.925,324,1894.55,1886.91,0.13862,0.9986,,,0.0,1.0,,,,
34.075,115.175,328,1894.68,1887.57,0.137473,0.9996,,,0.0,1.0,,,,
34.075,115.425,346,1896.33,1889.44,0.107445,0.9996,,,0.0,1.0,,,,
34.075,115.675,368,1896.87,1890.75,0.096808,0.9986,,,0.0,0.6773,0.3227,,,
34.075,115.925,348,1894.77,1889.3,0.098361,0.9996,,,0.0,0.8301,0.1699,,,
34.075,116.175,348,1895.1,1888.73,0.096037,0.9996,,,0.0,1.0,,,,
34.075,116.425,321,1899.72,1892.98,0.135783,0.9986,,,0.0,0.9965,0.0035,,,
34.075,116.675,325,1896.27,1888.78,0.199571,0.9996,,,0.0,0.1303,0.8697,,,
34.075,116.925,294,1896.05,1888.75,0.247053,0.9996,0.105024,0.105024,0.0233,0.0,0.9768,0.0232,,
34.075,117.175,294,1893.46,1886.77,0.226514,0.9986,0.074169,0.074169,0.4101,0.0,0.5899,0.4101,,
