centre_lat,centre_lon,sounding_count,in_box_prefilter,in_box_retrieved,months_observed,ch4_bias_corrected_ppb,within_cell_sd_ppb,weight_by_count,weight_representativeness
33.8250,122.1750,58,2074,84,5,1859.93,20.337,58,0.00233587
33.8250,122.4250,63,2050,84,5,1867.59,11.384,63,0.00699525
33.5750,114.9250,282,2027,443,8,1894.18,22.820,282,0.00190929
33.5750,115.1750,319,2086,446,8,1894.07,22.074,319,0.00204120
33.5750,115.4250,348,2008,476,8,1892.79,17.073,348,0.00340244
33.5750,115.6750,335,2053,458,8,1892.58,16.053,335,0.00384284
33.5750,115.9250,341,2061,473,8,1895.19,19.153,341,0.00270785
33.5750,116.1750,295,2081,452,8,1893.69,17.935,295,0.00308166
33.5750,116.4250,313,2037,451,8,1897.47,17.296,313,0.00331306
33.5750,116.6750,304,2029,452,8,1899.10,19.027,304,0.00274135
33.5750,116.9250,334,2051,458,8,1897.72,17.989,334,0.00306634
33.5750,117.1750,237,2062,483,8,1900.72,17.323,237,0.00329339
33.5750,117.4250,394,2065,492,8,1894.96,18.048,394,0.00305013
33.5750,117.6750,385,2034,485,8,1893.52,17.551,385,0.00322359
33.5750,117.9250,358,2057,468,8,1894.86,16.354,358,0.00370631
33.5750,118.1750,317,2048,428,8,1891.55,15.491,317,0.00412176
33.5750,118.4250,108,2067,376,8,1890.57,17.442,108,0.00320500
33.5750,118.6750,62,2061,234,7,1891.25,13.111,62,0.00539155
33.5750,118.9250,170,2033,381,7,1890.55,16.708,170,0.00351967
33.5750,119.1750,218,2091,365,7,1892.20,17.157,218,0.00335339
33.5750,119.4250,234,2050,389,8,1889.24,20.417,234,0.00237841
33.5750,119.6750,217,2037,388,7,1892.00,18.127,217,0.00300793
33.5750,119.9250,207,2084,378,8,1893.24,17.551,207,0.00320401
33.5750,120.1750,169,2011,336,8,1895.88,18.144,169,0.00299250
33.5750,120.4250,74,2083,277,7,1897.48,22.806,74,0.00188147
33.5750,120.6750,8,2062,60,4,1895.53,7.774,8,0.00604007
33.5750,120.9250,1,2081,20,1,1880.06,,1,
33.5750,121.1750,11,2054,31,1,1850.52,12.501,11,0.00429669
33.5750,121.4250,18,2034,25,2,1857.69,4.801,18,0.01433316
33.5750,121.6750,32,2068,39,2,1855.30,6.120,32,0.01569019
33.5750,121.9250,56,2068,74,5,1855.51,12.313,56,0.00600141
33.5750,122.1750,49,2082,80,5,1862.64,14.883,49,0.00418995
33.5750,122.4250,36,2063,60,5,1866.98,12.172,36,0.00583023
33.3250,114.9250,306,2019,419,7,1892.14,19.020,306,0.00274336
33.3250,115.1750,317,2039,439,8,1893.72,18.388,317,0.00293439
33.3250,115.4250,325,2039,440,8,1892.82,15.461,325,0.00413862
33.3250,115.6750,339,2100,439,8,1891.76,13.857,339,0.00514163
33.3250,115.9250,347,2041,433,8,1893.90,16.515,347,0.00363401
33.3250,116.1750,336,2039,422,8,1894.65,14.967,336,0.00441477
33.3250,116.4250,372,2062,483,8,1896.78,17.541,372,0.00322629
33.3250,116.6750,341,2021,493,7,1900.04,20.243,341,0.00242571
33.3250,116.9250,365,2070,484,8,1899.21,20.149,365,0.00244922
33.3250,117.1750,357,2040,476,8,1899.01,20.229,357,0.00242974
33.3250,117.4250,338,2070,455,8,1897.81,22.525,338,0.00196124
33.3250,117.6750,274,2047,437,8,1895.01,20.021,274,0.00247572
33.3250,117.9250,150,2049,401,8,1896.43,18.492,150,0.00287709
33.3250,118.1750,135,2030,436,8,1892.63,18.736,135,0.00279901
33.3250,118.4250,42,2077,231,8,1888.89,19.238,42,0.00256331
33.3250,118.6750,0,2043,66,0,,,0,
33.3250,118.9250,53,2046,282,7,1901.58,36.613,53,0.00073726
33.3250,119.1750,78,2061,256,8,1893.09,19.708,78,0.00250499
33.3250,119.4250,167,2091,422,7,1891.14,18.773,167,0.00279758
33.3250,119.6750,183,2024,399,8,1890.89,20.717,183,0.00230528
33.3250,119.9250,182,2044,379,8,1893.31,19.322,182,0.00264567
33.3250,120.1750,154,2053,274,7,1890.34,17.656,154,0.00315273
33.3250,120.4250,166,2104,307,8,1892.85,22.490,166,0.00195751
33.3250,120.6750,21,2068,115,4,1905.14,21.286,21,0.00202788
33.3250,120.9250,0,2054,10,0,,,0,
33.3250,121.1750,0,2067,7,0,,,0,
33.3250,121.4250,9,2027,13,1,1856.04,4.012,9,0.00912904
33.3250,121.6750,28,2104,39,2,1858.42,8.292,28,0.01012285
33.3250,121.9250,43,2041,70,5,1854.59,37.247,43,0.00071078
33.3250,122.1750,64,2079,90,5,1861.10,18.022,64,0.00295930
33.3250,122.4250,43,2069,64,4,1860.10,13.848,43,0.00473184
33.0750,114.9250,337,2017,446,8,1894.81,17.818,337,0.00312521
33.0750,115.1750,324,2018,426,8,1894.37,17.686,324,0.00317061
33.0750,115.4250,352,2074,467,8,1893.93,19.449,352,0.00262693
33.0750,115.6750,330,2034,442,8,1894.66,14.387,330,0.00477238
33.0750,115.9250,329,2078,429,8,1895.60,17.141,329,0.00337400
33.0750,116.1750,320,2056,413,8,1896.94,17.867,320,0.00310687
33.0750,116.4250,348,2046,460,8,1897.06,18.512,348,0.00289771
33.0750,116.6750,374,2024,491,8,1901.15,21.000,374,0.00225609
