centre_lat,centre_lon,impervious_fraction,impervious_coverage
32.825,119.175,0.008091,1.0007
32.825,119.425,0.081455,0.9996
32.825,119.675,0.057551,1.0007
32.825,119.925,0.123179,0.9996
32.825,120.175,0.152668,1.0007
32.825,120.425,0.077102,1.0007
32.825,120.675,0.029918,0.9996
32.825,120.925,0.043325,1.0007
32.825,121.425,0.0,0.9996
32.825,121.675,0.0,1.0007
32.825,121.925,0.0,1.0007
32.825,122.175,0.0,0.9996
32.825,122.425,0.0,1.0007
32.575,114.925,0.087442,0.9986
32.575,115.175,0.123774,0.9996
32.575,115.425,0.195568,0.9996
32.575,115.675,0.180724,0.9986
32.575,115.925,0.134615,0.9996
32.575,116.175,0.158733,0.9996
32.575,116.425,0.124012,0.9986
32.575,116.675,0.120732,0.9996
32.575,116.925,0.217498,0.9996
32.575,117.175,0.115991,0.9986
32.575,117.425,0.026565,0.9996
32.575,117.675,0.055287,0.9996
32.575,117.925,0.024418,0.9986
32.575,118.175,0.011948,0.9996
32.575,118.425,0.023995,0.9996
32.575,118.675,0.028517,0.9986
32.575,118.925,0.066082,0.9996
32.575,119.175,0.061371,0.9996
32.575,119.425,0.090864,0.9986
32.575,119.675,0.087988,0.9996
32.575,119.925,0.200367,0.9986
32.575,120.175,0.157714,0.9996
32.575,120.425,0.151557,0.9996
32.575,120.675,0.070061,0.9986
32.575,120.925,0.065244,0.9996
32.575,121.175,0.059891,0.9996
32.575,121.425,0.000312,0.9986
32.575,121.675,0.0,0.9996
32.575,121.925,0.0,0.9996
32.575,122.175,0.0,0.9986
32.575,122.425,0.0,0.9996
32.325,114.925,0.064747,0.9996
32.325,115.175,0.071138,1.0007
32.325,115.425,0.062399,1.0007
32.325,115.675,0.086117,0.9996
32.325,115.925,0.116599,1.0007
32.325,116.175,0.080736,1.0007
32.325,116.425,0.059347,0.9996
32.325,116.675,0.031151,1.0007
32.325,116.925,0.030109,1.0007
32.325,117.175,0.061417,0.9996
32.325,117.425,0.026453,1.0007
32.325,117.675,0.02811,1.0007
32.325,117.925,0.013147,0.9996
32.325,118.175,0.032799,1.0007
32.325,118.425,0.156359,1.0007
32.325,118.675,0.127295,0.9996
32.325,118.925,0.144462,1.0007
32.325,119.175,0.167076,1.0007
32.325,119.425,0.364894,0.9996
32.325,119.675,0.179937,1.0007
32.325,119.925,0.225762,0.9996
32.325,120.175,0.079215,1.0007
32.325,120.425,0.094602,1.0007
32.325,120.675,0.099376,0.9996
32.325,120.925,0.049375,1.0007
32.325,121.175,0.110813,1.0007
32.325,121.425,0.085904,0.9996
32.325,121.675,0.0,1.0007
32.325,121.925,0.0,1.0007
32.325,122.175,0.0,0.9996
32.325,122.425,0.0,1.0007
32.075,114.925,0.105559,0.9996
32.075,115.175,0.061139,1.0007
32.075,115.425,0.033787,1.0007
32.075,115.675,0.099685,0.9996
32.075,115.925,0.049013,1.0007
32.075,116.175,0.060402,1.0007
32.075,116.425,0.048031,0.9996
32.075,116.675,0.026976,1.0007
32.075,116.925,0.050227,1.0007
32.075,117.175,0.124461,0.9996
32.075,117.425,0.060349,1.0007
32.075,117.675,0.030204,1.0007
32.075,117.925,0.01846,0.9996
32.075,118.175,0.059453,1.0007
32.075,118.425,0.075873,1.0007
32.075,118.675,0.414081,0.9996
32.075,118.925,0.408732,1.0007
32.075,119.175,0.15196,1.0007
32.075,119.425,0.254173,0.9996
32.075,119.675,0.288606,1.0007
32.075,119.925,0.260458,0.9996
32.075,120.175,0.18793,1.0007
32.075,120.425,0.191956,1.0007
32.075,120.675,0.229046,0.9996
32.075,120.925,0.35461,1.0007
32.075,121.175,0.174806,1.0007
32.075,121.425,0.148393,0.9996
32.075,121.675,0.108678,1.0007
32.075,121.925,0.000671,1.0007
32.075,122.175,0.0,0.9996
32.075,122.425,0.0,1.0007
31.825,114.925,0.027506,0.9986
31.825,115.175,0.023185,0.9996
31.825,115.425,0.035357,0.9996
31.825,115.675,0.015425,0.9986
31.825,115.925,0.088483,0.9996
31.825,116.175,0.039735,0.9996
31.825,116.425,0.136677,0.9986
31.825,116.675,0.06999,0.9996
31.825,116.925,0.03607,0.9996
31.825,117.175,0.460374,0.9986
31.825,117.425,0.328014,0.9996
31.825,117.675,0.047704,0.9996
31.825,117.925,0.027462,0.9986
31.825,118.175,0.049842,0.9996
31.825,118.425,0.157799,0.9996
31.825,118.675,0.22035,0.9986
31.825,118.925,0.237404,0.9996
31.825,119.175,0.087517,0.9996
31.825,119.425,0.097275,0.9986
31.825,119.675,0.184672,0.9996
31.825,119.925,0.547978,0.9986
31.825,120.175,0.452793,0.9996
31.825,120.425,0.496292,0.9996
31.825,120.675,0.34083,0.9986
31.825,120.925,0.272879,0.9996
31.825,121.175,0.182703,0.9996
31.825,121.425,0.094343,0.9986
31.825,121.675,0.161976,0.9996
31.825,121.925,0.075824,0.9996
31.825,122.175,0.0,0.9986
31.825,122.425,0.0,0.9996
31.575,114.925,0.016582,0.9996
31.575,115.175,0.002985,1.0007
31.575,115.425,0.001634,1.0007
31.575,115.675,0.002834,0.9996
31.575,115.925,0.005789,1.0007
31.575,116.175,0.008634,1.0007
31.575,116.425,0.047451,0.9996
31.575,116.675,0.028601,1.0007
31.575,116.925,0.053699,1.0007
31.575,117.175,0.048988,0.9996
31.575,117.425,0.022628,1.0007
31.575,117.675,0.043214,1.0007
31.575,117.925,0.136611,0.9996
31.575,118.175,0.054829,1.0007
31.575,118.425,0.232041,1.0007
31.575,118.675,0.092244,0.9996
31.575,118.925,0.112935,1.0007
31.575,119.175,0.069814,1.0007
31.575,119.425,0.106901,0.9996
31.575,119.675,0.175533,1.0007
31.575,119.925,0.239673,0.9996
31.575,120.175,0.448119,1.0007
31.575,120.425,0.525818,1.0007
31.575,120.675,0.355758,0.9996
31.575,120.925,0.273844,1.0007
31.575,121.175,0.295315,1.0007
31.575,121.425,0.125862,0.9996
31.575,121.675,0.089845,1.0007
31.575,122.175,0.0,0.9996
31.575,122.425,0.0,1.0007
31.325,114.925,0.013773,0.9996
31.325,115.175,0.011209,1.0007
31.325,115.675,0.001011,0.9996
31.325,116.175,0.016536,1.0007
31.325,116.425,0.038194,0.9996
31.325,116.675,0.019991,1.0007
31.325,116.925,0.030663,1.0007
31.325,117.175,0.059893,0.9996
31.325,117.425,0.039308,1.0007
31.325,117.675,0.042115,1.0007
31.325,117.925,0.076765,0.9996
31.325,118.175,0.092966,1.0007
31.325,118.425,0.2628,1.0007
31.325,118.675,0.071135,0.9996
31.325,118.925,0.120753,1.0007
31.325,119.175,0.070311,1.0007
31.325,119.425,0.121574,0.9996
31.325,119.675,0.140425,1.0007
31.325,119.925,0.197886,0.9996
31.325,120.175,0.019777,1.0007
31.325,120.425,0.33407,1.0007
31.325,120.675,0.563074,0.9996
31.325,120.925,0.464653,1.0007
31.325,121.175,0.552025,1.0007
31.325,121.425,0.791318,0.9996
31.325,121.675,0.373376,1.0007
31.325,122.175,1.6e-05,0.9996
31.325,122.425,0.0,1.0007
31.075,114.925,0.08057,0.9986
31.075,115.175,0.012121,0.9996
31.075,115.425,0.009467,0.9996
31.075,116.925,0.06067,0.9996
31.075,117.175,0.021559,0.9986
31.075,117.425,0.024091,0.9996
31.075,117.675,0.053232,0.9996
31.075,117.925,0.1239,0.9986
31.075,118.175,0.076914,0.9996
31.075,118.425,0.040953,0.9996
31.075,118.675,0.096859,0.9986
31.075,118.925,0.024166,0.9996
31.075,119.175,0.044465,0.9996
31.075,119.425,0.030446,0.9986
31.075,119.675,0.052289,0.9996
31.075,119.925,0.137024,0.9986
31.075,120.175,0.015031,0.9996
31.075,120.675,0.275826,0.9986
31.075,120.925,0.18083,0.9996
31.075,121.175,0.418852,0.9996
31.075,121.425,0.676725,0.9986
