granule,acquired,pixel_size,soundings_read,soundings_valid_global,in_box_total,in_box_retrieved,in_box_passed,no_retrieval_share,threshold_rejected_share
S5P_RPRO_L2__CH4____20180519T060952_20180519T075122_03091_03_020400_20221109T100744.nc,2018-05-19T06:09:52,7.0x7.0 km2,697675,14268,0,0,0,,
S5P_RPRO_L2__CH4____20180520T040923_20180520T055053_03104_03_020400_20221109T100807.nc,2018-05-20T04:09:23,7.0x7.0 km2,697890,48310,10989,38,0,0.996542,1.000000
S5P_RPRO_L2__CH4____20180520T055053_20180520T073223_03105_03_020400_20221109T100810.nc,2018-05-20T05:50:53,7.0x7.0 km2,697890,15742,0,0,0,,
S5P_RPRO_L2__CH4____20180521T035023_20180521T053153_03118_03_020400_20221109T100834.nc,2018-05-21T03:50:23,7.0x7.0 km2,624575,50144,6804,151,74,0.977807,0.509934
S5P_RPRO_L2__CH4____20180521T053153_20180521T071323_03119_03_020400_20221108T110526.nc,2018-05-21T05:31:53,7.0x7.0 km2,697675,25911,144,0,0,1.000000,
S5P_RPRO_L2__CH4____20180522T033124_20180522T051254_03132_03_020400_20221109T110746.nc,2018-05-22T03:31:24,7.0x7.0 km2,697890,40029,3229,3,0,0.999071,1.000000
S5P_RPRO_L2__CH4____20180522T051254_20180522T065424_03133_03_020400_20221109T110747.nc,2018-05-22T05:12:54,7.0x7.0 km2,624790,39757,2650,1,0,0.999623,1.000000
S5P_RPRO_L2__CH4____20180523T031224_20180523T045354_03146_03_020400_20221109T110813.nc,2018-05-23T03:12:24,7.0x7.0 km2,697890,26427,603,0,0,1.000000,
S5P_RPRO_L2__CH4____20180523T045354_20180523T063524_03147_03_020400_20221109T110816.nc,2018-05-23T04:53:54,7.0x7.0 km2,697675,45297,6577,1667,904,0.746541,0.457708
S5P_RPRO_L2__CH4____20180523T063524_20180523T081654_03148_03_020400_20221109T110818.nc,2018-05-23T06:35:24,7.0x7.0 km2,624790,8675,0,0,0,,
S5P_RPRO_L2__CH4____20180524T025324_20180524T043454_03160_03_020400_20221109T114947.nc,2018-05-24T02:53:24,7.0x7.0 km2,697675,12722,0,0,0,,
S5P_RPRO_L2__CH4____20180524T043454_20180524T061624_03161_03_020400_20221109T120008.nc,2018-05-24T04:34:54,7.0x7.0 km2,697675,52133,10858,827,194,0.923835,0.765417
S5P_RPRO_L2__CH4____20180524T061624_20180524T075754_03162_03_020400_20221109T120010.nc,2018-05-24T06:16:24,7.0x7.0 km2,697675,3164,0,0,0,,
S5P_RPRO_L2__CH4____20180525T041554_20180525T055724_03175_03_020400_20221109T124146.nc,2018-05-25T04:15:54,7.0x7.0 km2,697675,54008,11880,944,0,0.920539,1.000000
S5P_RPRO_L2__CH4____20180525T055724_20180525T073854_03176_03_020400_20221109T124147.nc,2018-05-25T05:57:24,7.0x7.0 km2,697675,6646,0,0,0,,
S5P_RPRO_L2__CH4____20180526T035654_20180526T053824_03189_03_020400_20221109T132315.nc,2018-05-26T03:56:54,7.0x7.0 km2,697675,34787,8194,372,195,0.954601,0.475806
S5P_RPRO_L2__CH4____20180526T053824_20180526T071954_03190_03_020400_20221109T132317.nc,2018-05-26T05:38:24,7.0x7.0 km2,697675,13177,0,0,0,,
S5P_RPRO_L2__CH4____20180527T033754_20180527T051924_03203_03_020400_20221108T114735.nc,2018-05-27T03:37:54,7.0x7.0 km2,697675,15818,4349,7,0,0.998390,1.000000
S5P_RPRO_L2__CH4____20180527T051924_20180527T070054_03204_03_020400_20221108T114737.nc,2018-05-27T05:19:24,7.0x7.0 km2,697890,32525,1643,4,0,0.997565,1.000000
S5P_RPRO_L2__CH4____20180528T031853_20180528T050023_03217_03_020400_20221108T114811.nc,2018-05-28T03:18:53,7.0x7.0 km2,697675,14768,1294,0,0,1.000000,
S5P_RPRO_L2__CH4____20180528T050023_20180528T064153_03218_03_020400_20221110T082403.nc,2018-05-28T05:00:23,7.0x7.0 km2,697675,48097,5338,576,211,0.892094,0.633681
S5P_RPRO_L2__CH4____20180528T064153_20180528T082323_03219_03_020400_20221110T082405.nc,2018-05-28T06:41:53,7.0x7.0 km2,697890,11838,0,0,0,,
S5P_RPRO_L2__CH4____20180529T025953_20180529T044123_03231_03_020400_20221110T082558.nc,2018-05-29T02:59:53,7.0x7.0 km2,697675,13460,7,0,0,1.000000,
S5P_RPRO_L2__CH4____20180529T044123_20180529T062253_03232_03_020400_20221110T082559.nc,2018-05-29T04:41:23,7.0x7.0 km2,697675,56320,9534,27,2,0.997168,0.925926
S5P_RPRO_L2__CH4____20180529T062253_20180529T080423_03233_03_020400_20221110T082621.nc,2018-05-29T06:22:53,7.0x7.0 km2,697675,5864,0,0,0,,
