granule,acquired,pixel_size,soundings_read,soundings_valid_global,in_box_total,in_box_retrieved,in_box_passed,no_retrieval_share,threshold_rejected_share
S5P_RPRO_L2__CH4____20180905T052157_20180905T070326_04637_03_020400_20221113T160510.nc,2018-09-05T05:21:57,7.0x7.0 km2,697675,26248,823,8,0,0.990279,1.000000
S5P_RPRO_L2__CH4____20180906T032120_20180906T050249_04650_03_020400_20221113T170311.nc,2018-09-06T03:21:20,7.0x7.0 km2,697890,17326,2149,3,0,0.998604,1.000000
S5P_RPRO_L2__CH4____20180906T050249_20180906T064419_04651_03_020400_20221113T171300.nc,2018-09-06T05:02:49,7.0x7.0 km2,697675,43292,3973,94,13,0.976340,0.861702
S5P_RPRO_L2__CH4____20180906T064419_20180906T082548_04652_03_020400_20221113T171302.nc,2018-09-06T06:44:19,7.0x7.0 km2,697675,16731,0,0,0,,
S5P_RPRO_L2__CH4____20180907T030212_20180907T044342_04664_03_020400_20221113T172312.nc,2018-09-07T03:02:12,7.0x7.0 km2,697675,14182,166,0,0,1.000000,
S5P_RPRO_L2__CH4____20180907T044342_20180907T062511_04665_03_020400_20221113T174323.nc,2018-09-07T04:43:42,7.0x7.0 km2,697890,61399,8035,859,516,0.893093,0.399302
S5P_RPRO_L2__CH4____20180907T062511_20180907T080641_04666_03_020400_20221113T174325.nc,2018-09-07T06:25:11,7.0x7.0 km2,697675,12445,0,0,0,,
S5P_RPRO_L2__CH4____20180908T042434_20180908T060603_04679_03_020400_20221113T181410.nc,2018-09-08T04:24:34,7.0x7.0 km2,697675,65973,11830,1785,782,0.849112,0.561905
S5P_RPRO_L2__CH4____20180908T060603_20180908T074733_04680_03_020400_20221113T182416.nc,2018-09-08T06:06:03,7.0x7.0 km2,697675,8349,0,0,0,,
S5P_RPRO_L2__CH4____20180909T040526_20180909T054656_04693_03_020400_20221113T184459.nc,2018-09-09T04:05:26,7.0x7.0 km2,624790,72737,10952,1195,179,0.890888,0.850209
S5P_RPRO_L2__CH4____20180909T054656_20180909T072825_04694_03_020400_20221113T185510.nc,2018-09-09T05:46:56,7.0x7.0 km2,697675,11646,0,0,0,,
S5P_RPRO_L2__CH4____20180910T034619_20180910T052748_04707_03_020400_20221113T194525.nc,2018-09-10T03:46:19,7.0x7.0 km2,697890,77490,6762,119,5,0.982402,0.957983
S5P_RPRO_L2__CH4____20180910T052748_20180910T070917_04708_03_020400_20221113T194526.nc,2018-09-10T05:27:48,7.0x7.0 km2,624790,15993,159,0,0,1.000000,
S5P_RPRO_L2__CH4____20180911T032711_20180911T050840_04721_03_020400_20221113T202547.nc,2018-09-11T03:27:11,7.0x7.0 km2,697675,65070,3206,21,1,0.993450,0.952381
S5P_RPRO_L2__CH4____20180911T050840_20180911T065010_04722_03_020400_20221113T202549.nc,2018-09-11T05:08:40,7.0x7.0 km2,697675,35419,2690,99,21,0.963197,0.787879
S5P_RPRO_L2__CH4____20180912T030803_20180912T044932_04735_03_020400_20221113T210552.nc,2018-09-12T03:08:03,7.0x7.0 km2,697675,26334,596,0,0,1.000000,
S5P_RPRO_L2__CH4____20180912T044932_20180912T063102_04736_03_020400_20221113T210554.nc,2018-09-12T04:49:32,7.0x7.0 km2,697675,51947,6612,2,0,0.999698,1.000000
S5P_RPRO_L2__CH4____20180912T063102_20180912T081231_04737_03_020400_20221113T210555.nc,2018-09-12T06:31:02,7.0x7.0 km2,697675,10044,0,0,0,,
S5P_RPRO_L2__CH4____20180913T024855_20180913T043024_04749_03_020400_20221113T212603.nc,2018-09-13T02:48:55,7.0x7.0 km2,697675,20177,0,0,0,,
S5P_RPRO_L2__CH4____20180913T043024_20180913T061154_04750_03_020400_20221113T212604.nc,2018-09-13T04:30:24,7.0x7.0 km2,697675,53111,10878,86,0,0.992094,1.000000
S5P_RPRO_L2__CH4____20180913T061154_20180913T075323_04751_03_020400_20221113T213559.nc,2018-09-13T06:11:54,7.0x7.0 km2,697890,9426,0,0,0,,
S5P_RPRO_L2__CH4____20180914T041117_20180914T055246_04764_03_020400_20221113T221557.nc,2018-09-14T04:11:17,7.0x7.0 km2,697890,53649,11866,758,107,0.936120,0.858839
S5P_RPRO_L2__CH4____20180914T055246_20180914T073415_04765_03_020400_20221113T221558.nc,2018-09-14T05:52:46,7.0x7.0 km2,697675,21967,0,0,0,,
S5P_RPRO_L2__CH4____20180915T035209_20180915T053338_04778_03_020400_20221113T224557.nc,2018-09-15T03:52:09,7.0x7.0 km2,697675,54002,8175,403,50,0.950703,0.875931
S5P_RPRO_L2__CH4____20180915T053338_20180915T071508_04779_03_020400_20221113T224558.nc,2018-09-15T05:33:38,7.0x7.0 km2,697675,37694,0,0,0,,
S5P_RPRO_L2__CH4____20180916T033301_20180916T051430_04792_03_020400_20221113T233557.nc,2018-09-16T03:33:01,7.0x7.0 km2,697675,62625,4339,4,0,0.999078,1.000000
S5P_RPRO_L2__CH4____20180916T051430_20180916T065600_04793_03_020400_20221113T233600.nc,2018-09-16T05:14:30,7.0x7.0 km2,697675,51693,1649,5,0,0.996968,1.000000
S5P_RPRO_L2__CH4____20180917T031353_20180917T045522_04806_03_020400_20221114T114631.nc,2018-09-17T03:13:53,7.0x7.0 km2,697675,47933,1286,0,0,1.000000,
S5P_RPRO_L2__CH4____20180917T045522_20180917T063651_04807_03_020400_20221114T114633.nc,2018-09-17T04:55:22,7.0x7.0 km2,697675,38478,5352,90,7,0.983184,0.922222
S5P_RPRO_L2__CH4____20180917T063651_20180917T081821_04808_03_020400_20221114T114634.nc,2018-09-17T06:36:51,7.0x7.0 km2,697675,17362,0,0,0,,
S5P_RPRO_L2__CH4____20180918T025445_20180918T043614_04820_03_020400_20221114T114813.nc,2018-09-18T02:54:45,7.0x7.0 km2,697890,19696,7,0,0,1.000000,
S5P_RPRO_L2__CH4____20180918T043614_20180918T061743_04821_03_020400_20221114T114835.nc,2018-09-18T04:36:14,7.0x7.0 km2,697675,38776,9534,87,0,0.990875,1.000000
S5P_RPRO_L2__CH4____20180918T061743_20180918T075913_04822_03_020400_20221114T114836.nc,2018-09-18T06:17:43,7.0x7.0 km2,697675,22383,0,0,0,,
S5P_RPRO_L2__CH4____20180919T041706_20180919T055835_04835_03_020400_20221114T120322.nc,2018-09-19T04:17:06,7.0x7.0 km2,697675,45624,12182,510,25,0.958135,0.950980
S5P_RPRO_L2__CH4____20180919T055835_20180919T074005_04836_03_020400_20221114T120346.nc,2018-09-19T05:58:35,7.0x7.0 km2,697675,26592,0,0,0,,
S5P_RPRO_L2__CH4____20180920T035758_20180920T053927_04849_03_020400_20221114T120538.nc,2018-09-20T03:57:58,7.0x7.0 km2,697675,54224,9646,391,70,0.959465,0.820972
S5P_RPRO_L2__CH4____20180920T053927_20180920T072057_04850_03_020400_20221114T120539.nc,2018-09-20T05:39:27,7.0x7.0 km2,697675,34948,0,0,0,,
S5P_RPRO_L2__CH4____20180921T033850_20180921T052019_04863_03_020400_20221114T123109.nc,2018-09-21T03:38:50,7.0x7.0 km2,697890,44683,5503,328,227,0.940396,0.307927
S5P_RPRO_L2__CH4____20180921T052019_20180921T070149_04864_03_020400_20221114T123111.nc,2018-09-21T05:20:19,7.0x7.0 km2,697675,44901,818,0,0,1.000000,
S5P_RPRO_L2__CH4____20180922T031942_20180922T050111_04877_03_020400_20221114T123302.nc,2018-09-22T03:19:42,7.0x7.0 km2,697890,24748,2151,0,0,1.000000,
S5P_RPRO_L2__CH4____20180922T050111_20180922T064240_04878_03_020400_20221114T123326.nc,2018-09-22T05:01:11,7.0x7.0 km2,697675,49373,3966,311,143,0.921583,0.540193
S5P_RPRO_L2__CH4____20180922T064240_20180922T082410_04879_03_020400_20221114T123328.nc,2018-09-22T06:42:40,7.0x7.0 km2,697675,7387,0,0,0,,
S5P_RPRO_L2__CH4____20180923T030033_20180923T044203_04891_03_020400_20221114T123517.nc,2018-09-23T03:00:33,7.0x7.0 km2,697675,25917,168,0,0,1.000000,
S5P_RPRO_L2__CH4____20180923T044203_20180923T062332_04892_03_020400_20221114T123518.nc,2018-09-23T04:42:03,7.0x7.0 km2,697675,63916,8033,2079,1614,0.741193,0.223665
S5P_RPRO_L2__CH4____20180923T062332_20180923T080502_04893_03_020400_20221114T123540.nc,2018-09-23T06:23:32,7.0x7.0 km2,697675,4505,0,0,0,,
S5P_RPRO_L2__CH4____20180924T042255_20180924T060424_04906_03_020400_20221114T123725.nc,2018-09-24T04:22:55,7.0x7.0 km2,697890,68253,11829,2294,931,0.806070,0.594159
S5P_RPRO_L2__CH4____20180924T060424_20180924T074553_04907_03_020400_20221114T123727.nc,2018-09-24T06:04:24,7.0x7.0 km2,697675,7345,0,0,0,,
S5P_RPRO_L2__CH4____20180925T040346_20180925T054516_04920_03_020400_20221114T123946.nc,2018-09-25T04:03:46,7.0x7.0 km2,697675,67460,10961,176,26,0.983943,0.852273
S5P_RPRO_L2__CH4____20180925T054516_20180925T072645_04921_03_020400_20221114T123947.nc,2018-09-25T05:45:16,7.0x7.0 km2,697890,10879,0,0,0,,
S5P_RPRO_L2__CH4____20180926T034438_20180926T052608_04934_03_020400_20221114T132455.nc,2018-09-26T03:44:38,7.0x7.0 km2,697675,55246,6767,143,18,0.978868,0.874126
S5P_RPRO_L2__CH4____20180926T052608_20180926T070737_04935_03_020400_20221114T133504.nc,2018-09-26T05:26:08,7.0x7.0 km2,697890,16197,159,0,0,1.000000,
S5P_RPRO_L2__CH4____20180927T032530_20180927T050659_04948_03_020400_20221114T141548.nc,2018-09-27T03:25:30,7.0x7.0 km2,624575,42930,3207,68,29,0.978796,0.573529
S5P_RPRO_L2__CH4____20180927T050659_20180927T064829_04949_03_020400_20221114T141549.nc,2018-09-27T05:06:59,7.0x7.0 km2,697675,31453,2688,12,0,0.995536,1.000000
S5P_RPRO_L2__CH4____20180928T030622_20180928T044751_04962_03_020400_20221114T145508.nc,2018-09-28T03:06:22,7.0x7.0 km2,697890,17865,594,0,0,1.000000,
S5P_RPRO_L2__CH4____20180928T044751_20180928T062920_04963_03_020400_20221114T145510.nc,2018-09-28T04:47:51,7.0x7.0 km2,624575,36679,6606,247,25,0.962610,0.898785
S5P_RPRO_L2__CH4____20180928T062920_20180928T081050_04964_03_020400_20221114T145511.nc,2018-09-28T06:29:20,7.0x7.0 km2,697890,17296,0,0,0,,
S5P_RPRO_L2__CH4____20180929T024713_20180929T042843_04976_03_020400_20221114T153554.nc,2018-09-29T02:47:13,7.0x7.0 km2,697675,16600,0,0,0,,
S5P_RPRO_L2__CH4____20180929T042843_20180929T061012_04977_03_020400_20221114T153555.nc,2018-09-29T04:28:43,7.0x7.0 km2,697675,41374,10888,2971,2187,0.727131,0.263884
S5P_RPRO_L2__CH4____20180929T061012_20180929T075142_04978_03_020400_20221114T154600.nc,2018-09-29T06:10:12,7.0x7.0 km2,624790,13093,0,0,0,,
S5P_RPRO_L2__CH4____20180930T040935_20180930T055104_04991_03_020400_20221114T161628.nc,2018-09-30T04:09:35,7.0x7.0 km2,697675,47241,11864,5424,3764,0.542819,0.306047
S5P_RPRO_L2__CH4____20180930T055104_20180930T073234_04992_03_020400_20221114T161629.nc,2018-09-30T05:51:04,7.0x7.0 km2,697890,22124,0,0,0,,
S5P_RPRO_L2__CH4____20181001T035027_20181001T053156_05005_03_020400_20221114T163655.nc,2018-10-01T03:50:27,7.0x7.0 km2,697675,51829,8174,2874,2016,0.648397,0.298539
S5P_RPRO_L2__CH4____20181001T053156_20181001T071326_05006_03_020400_20221114T164708.nc,2018-10-01T05:31:56,7.0x7.0 km2,697675,25608,0,0,0,,
S5P_RPRO_L2__CH4____20181002T033119_20181002T051248_05019_03_020400_20221114T212151.nc,2018-10-02T03:31:19,7.0x7.0 km2,697890,40881,4338,940,469,0.783310,0.501064
S5P_RPRO_L2__CH4____20181002T051248_20181002T065418_05020_03_020400_20221114T212153.nc,2018-10-02T05:12:48,7.0x7.0 km2,697890,31570,1647,211,108,0.871888,0.488152
S5P_RPRO_L2__CH4____20181003T031211_20181003T045341_05033_03_020400_20221114T212410.nc,2018-10-03T03:12:11,7.0x7.0 km2,697675,36545,1289,0,0,1.000000,
S5P_RPRO_L2__CH4____20181003T045341_20181003T063510_05034_03_020400_20221114T212443.nc,2018-10-03T04:53:41,7.0x7.0 km2,697890,35847,5338,1526,623,0.714125,0.591743
S5P_RPRO_L2__CH4____20181003T063510_20181003T081640_05035_03_020400_20221114T212445.nc,2018-10-03T06:35:10,7.0x7.0 km2,697675,25250,0,0,0,,
S5P_RPRO_L2__CH4____20181004T025303_20181004T043432_05047_03_020400_20221114T212702.nc,2018-10-04T02:53:03,7.0x7.0 km2,697890,24043,7,0,0,1.000000,
S5P_RPRO_L2__CH4____20181004T043432_20181004T061602_05048_03_020400_20221114T212703.nc,2018-10-04T04:34:32,7.0x7.0 km2,697675,48407,9524,3145,1588,0.669782,0.495072
S5P_RPRO_L2__CH4____20181004T061602_20181004T075731_05049_03_020400_20221114T212732.nc,2018-10-04T06:16:02,7.0x7.0 km2,697890,26923,0,0,0,,
S5P_RPRO_L2__CH4____20181005T041524_20181005T055653_05062_03_020400_20221114T212948.nc,2018-10-05T04:15:24,7.0x7.0 km2,697890,44685,12178,4611,3186,0.621366,0.309044
S5P_RPRO_L2__CH4____20181005T055653_20181005T073823_05063_03_020400_20221114T212950.nc,2018-10-05T05:56:53,7.0x7.0 km2,697675,27398,0,0,0,,
S5P_RPRO_L2__CH4____20181006T035615_20181006T053745_05076_03_020400_20221114T215752.nc,2018-10-06T03:56:15,7.0x7.0 km2,697675,45598,9661,4731,3348,0.510299,0.292327
S5P_RPRO_L2__CH4____20181006T053745_20181006T071914_05077_03_020400_20221114T220232.nc,2018-10-06T05:37:45,7.0x7.0 km2,697675,35006,0,0,0,,
S5P_RPRO_L2__CH4____20181007T033707_20181007T051836_05090_03_020400_20221114T223814.nc,2018-10-07T03:37:07,7.0x7.0 km2,697675,47462,5514,742,293,0.865433,0.605121
S5P_RPRO_L2__CH4____20181007T051836_20181007T070006_05091_03_020400_20221114T224131.nc,2018-10-07T05:18:36,7.0x7.0 km2,697675,41439,808,24,15,0.970297,0.375000
S5P_RPRO_L2__CH4____20181008T031758_20181008T045928_05104_03_020400_20221114T234446.nc,2018-10-08T03:17:58,7.0x7.0 km2,697890,23686,2155,2,0,0.999072,1.000000
S5P_RPRO_L2__CH4____20181008T045928_20181008T064057_05105_03_020400_20221114T234447.nc,2018-10-08T04:59:28,7.0x7.0 km2,697675,41922,3953,371,146,0.906147,0.606469
S5P_RPRO_L2__CH4____20181008T064057_20181008T082226_05106_03_020400_20221114T234449.nc,2018-10-08T06:40:57,7.0x7.0 km2,697890,21895,0,0,0,,
S5P_RPRO_L2__CH4____20181009T025850_20181009T044019_05118_03_020400_20221115T001616.nc,2018-10-09T02:58:50,7.0x7.0 km2,697675,8128,171,0,0,1.000000,
S5P_RPRO_L2__CH4____20181009T044019_20181009T062148_05119_03_020400_20221115T001617.nc,2018-10-09T04:40:19,7.0x7.0 km2,697675,36695,8014,79,8,0.990142,0.898734
S5P_RPRO_L2__CH4____20181009T062148_20181009T080318_05120_03_020400_20221115T001619.nc,2018-10-09T06:21:48,7.0x7.0 km2,697675,23382,0,0,0,,
S5P_RPRO_L2__CH4____20181010T042110_20181010T060240_05133_03_020400_20221115T003725.nc,2018-10-10T04:21:10,7.0x7.0 km2,697675,39477,11810,2660,2028,0.774767,0.237594
S5P_RPRO_L2__CH4____20181010T060240_20181010T074409_05134_03_020400_20221115T003726.nc,2018-10-10T06:02:40,7.0x7.0 km2,697675,18884,0,0,0,,
S5P_RPRO_L2__CH4____20181011T040202_20181011T054331_05147_03_020400_20221115T010901.nc,2018-10-11T04:02:02,7.0x7.0 km2,697675,41651,10979,4121,2843,0.624647,0.310119
S5P_RPRO_L2__CH4____20181011T054331_20181011T072501_05148_03_020400_20221115T010902.nc,2018-10-11T05:43:31,7.0x7.0 km2,697890,18596,0,0,0,,
S5P_RPRO_L2__CH4____20181012T034254_20181012T052423_05161_03_020400_20221115T015043.nc,2018-10-12T03:42:54,7.0x7.0 km2,697890,37458,6787,2251,1194,0.668337,0.469569
S5P_RPRO_L2__CH4____20181012T052423_20181012T070552_05162_03_020400_20221115T015045.nc,2018-10-12T05:24:23,7.0x7.0 km2,697675,24843,145,0,0,1.000000,
S5P_RPRO_L2__CH4____20181013T032345_20181013T050514_05175_03_020400_20221115T023253.nc,2018-10-13T03:23:45,7.0x7.0 km2,697675,29128,3225,241,66,0.925271,0.726141
S5P_RPRO_L2__CH4____20181013T050514_20181013T064644_05176_03_020400_20221115T024324.nc,2018-10-13T05:05:14,7.0x7.0 km2,697890,24456,2647,0,0,1.000000,
S5P_RPRO_L2__CH4____20181014T030436_20181014T044606_05189_03_020400_20221115T030439.nc,2018-10-14T03:04:36,7.0x7.0 km2,697890,13205,607,0,0,1.000000,
S5P_RPRO_L2__CH4____20181014T044606_20181014T062735_05190_03_020400_20221115T030441.nc,2018-10-14T04:46:06,7.0x7.0 km2,697890,37584,6565,0,0,1.000000,
S5P_RPRO_L2__CH4____20181014T062735_20181014T080905_05191_03_020400_20221115T030443.nc,2018-10-14T06:27:35,7.0x7.0 km2,697675,8782,0,0,0,,
S5P_RPRO_L2__CH4____20181015T024528_20181015T042657_05203_03_020400_20221115T033615.nc,2018-10-15T02:45:28,7.0x7.0 km2,624575,11071,0,0,0,,
S5P_RPRO_L2__CH4____20181015T042657_20181015T060827_05204_03_020400_20221115T033616.nc,2018-10-15T04:26:57,7.0x7.0 km2,697675,58058,10842,0,0,1.000000,
S5P_RPRO_L2__CH4____20181015T060827_20181015T074956_05205_03_020400_20221115T034642.nc,2018-10-15T06:08:27,7.0x7.0 km2,697890,14477,0,0,0,,
S5P_RPRO_L2__CH4____20181016T040749_20181016T054918_05218_03_020400_20221115T090827.nc,2018-10-16T04:07:49,7.0x7.0 km2,624575,62813,11884,74,1,0.993773,0.986486
S5P_RPRO_L2__CH4____20181016T054918_20181016T073048_05219_03_020400_20221115T090829.nc,2018-10-16T05:49:18,7.0x7.0 km2,697675,18740,0,0,0,,
S5P_RPRO_L2__CH4____20181017T034840_20181017T053010_05232_03_020400_20221115T090850.nc,2018-10-17T03:48:40,7.0x7.0 km2,697675,58606,8216,551,188,0.932936,0.658802
S5P_RPRO_L2__CH4____20181017T053010_20181017T071139_05233_03_020400_20221115T090852.nc,2018-10-17T05:30:10,7.0x7.0 km2,624790,27536,0,0,0,,
S5P_RPRO_L2__CH4____20181018T032932_20181018T051101_05246_03_020400_20221115T093707.nc,2018-10-18T03:29:32,7.0x7.0 km2,697675,45831,4376,548,259,0.874771,0.527372
S5P_RPRO_L2__CH4____20181018T051101_20181018T065231_05247_03_020400_20221115T093708.nc,2018-10-18T05:11:01,7.0x7.0 km2,697675,28674,1618,90,13,0.944376,0.855556
S5P_RPRO_L2__CH4____20181019T031024_20181019T045153_05260_03_020400_20221115T100521.nc,2018-10-19T03:10:24,7.0x7.0 km2,697675,25539,1311,0,0,1.000000,
S5P_RPRO_L2__CH4____20181019T045153_20181019T063322_05261_03_020400_20221115T100522.nc,2018-10-19T04:51:53,7.0x7.0 km2,697675,37317,5301,210,54,0.960385,0.742857
S5P_RPRO_L2__CH4____20181019T063322_20181019T081452_05262_03_020400_20221115T100524.nc,2018-10-19T06:33:22,7.0x7.0 km2,697890,17148,0,0,0,,
S5P_RPRO_L2__CH4____20181020T025115_20181020T043244_05274_03_020400_20221115T100545.nc,2018-10-20T02:51:15,7.0x7.0 km2,697675,11644,9,0,0,1.000000,
S5P_RPRO_L2__CH4____20181020T043244_20181020T061414_05275_03_020400_20221115T100548.nc,2018-10-20T04:32:44,7.0x7.0 km2,697890,42179,9474,4,0,0.999578,1.000000
S5P_RPRO_L2__CH4____20181020T061414_20181020T075543_05276_03_020400_20221115T100549.nc,2018-10-20T06:14:14,7.0x7.0 km2,697675,9308,0,0,0,,
S5P_RPRO_L2__CH4____20181021T041336_20181021T055506_05289_03_020400_20221115T103530.nc,2018-10-21T04:13:36,7.0x7.0 km2,697675,45782,12181,6,0,0.999507,1.000000
S5P_RPRO_L2__CH4____20181021T055506_20181021T073635_05290_03_020400_20221115T103532.nc,2018-10-21T05:55:06,7.0x7.0 km2,697890,17743,0,0,0,,
S5P_RPRO_L2__CH4____20181022T035428_20181022T053557_05303_03_020400_20221115T110543.nc,2018-10-22T03:54:28,7.0x7.0 km2,697675,39050,9707,237,126,0.975585,0.468354
S5P_RPRO_L2__CH4____20181022T053557_20181022T071727_05304_03_020400_20221115T110546.nc,2018-10-22T05:35:57,7.0x7.0 km2,697675,28711,0,0,0,,
S5P_RPRO_L2__CH4____20181023T033520_20181023T051649_05317_03_020400_20221115T110611.nc,2018-10-23T03:35:20,7.0x7.0 km2,697675,35699,5554,622,166,0.888009,0.733119
S5P_RPRO_L2__CH4____20181023T051649_20181023T065818_05318_03_020400_20221115T110612.nc,2018-10-23T05:16:49,7.0x7.0 km2,697675,40695,787,0,0,1.000000,
S5P_RPRO_L2__CH4____20181024T031611_20181024T045741_05331_03_020400_20221115T110635.nc,2018-10-24T03:16:11,7.0x7.0 km2,697890,20362,2185,36,2,0.983524,0.944444
S5P_RPRO_L2__CH4____20181024T045741_20181024T063910_05332_03_020400_20221115T111700.nc,2018-10-24T04:57:41,7.0x7.0 km2,697675,35491,3903,881,378,0.774276,0.570942
S5P_RPRO_L2__CH4____20181024T063910_20181024T082040_05333_03_020400_20221115T111707.nc,2018-10-24T06:39:10,7.0x7.0 km2,697675,44074,0,0,0,,
S5P_RPRO_L2__CH4____20181025T025703_20181025T043833_05345_03_020400_20221115T115903.nc,2018-10-25T02:57:03,7.0x7.0 km2,697675,20754,178,0,0,1.000000,
S5P_RPRO_L2__CH4____20181025T043833_20181025T062002_05346_03_020400_20221115T115904.nc,2018-10-25T04:38:33,7.0x7.0 km2,697890,24169,7964,0,0,1.000000,
S5P_RPRO_L2__CH4____20181025T062002_20181025T080131_05347_03_020400_20221115T115906.nc,2018-10-25T06:20:02,7.0x7.0 km2,697675,37223,0,0,0,,
S5P_RPRO_L2__CH4____20181026T041924_20181026T060054_05360_03_020400_20221115T124041.nc,2018-10-26T04:19:24,7.0x7.0 km2,697675,31215,11795,4644,3396,0.606274,0.268734
S5P_RPRO_L2__CH4____20181026T060054_20181026T074223_05361_03_020400_20221115T124042.nc,2018-10-26T06:00:54,7.0x7.0 km2,697675,35011,0,0,0,,
S5P_RPRO_L2__CH4____20181027T040016_20181027T054146_05374_03_020400_20221115T133257.nc,2018-10-27T04:00:16,7.0x7.0 km2,697675,30512,11010,5882,4327,0.465758,0.264366
S5P_RPRO_L2__CH4____20181027T054146_20181027T072315_05375_03_020400_20221115T133259.nc,2018-10-27T05:41:46,7.0x7.0 km2,697890,38004,0,0,0,,
S5P_RPRO_L2__CH4____20181028T034108_20181028T052238_05388_03_020400_20221115T141455.nc,2018-10-28T03:41:08,7.0x7.0 km2,694450,32824,6828,3340,2148,0.510838,0.356886
S5P_RPRO_L2__CH4____20181028T052238_20181028T070407_05389_03_020400_20221115T142515.nc,2018-10-28T05:22:38,7.0x7.0 km2,697675,38536,131,0,0,1.000000,
S5P_RPRO_L2__CH4____20181029T032200_20181029T050330_05402_03_020400_20221115T145634.nc,2018-10-29T03:22:00,7.0x7.0 km2,697675,35344,3262,811,443,0.751380,0.453761
S5P_RPRO_L2__CH4____20181029T050330_20181029T064459_05403_03_020400_20221115T145636.nc,2018-10-29T05:03:30,7.0x7.0 km2,697890,49574,2620,1165,711,0.555344,0.389700
S5P_RPRO_L2__CH4____20181029T064459_20181029T082629_05404_03_020400_20221115T145637.nc,2018-10-29T06:44:59,7.0x7.0 km2,697675,26955,0,0,0,,
S5P_RPRO_L2__CH4____20181030T030252_20181030T044422_05416_03_020400_20221115T153835.nc,2018-10-30T03:02:52,7.0x7.0 km2,697675,0,625,0,0,1.000000,
S5P_RPRO_L2__CH4____20181030T044422_20181030T062551_05417_03_020400_20221115T153837.nc,2018-10-30T04:44:22,7.0x7.0 km2,697890,49329,6521,1326,597,0.796657,0.549774
S5P_RPRO_L2__CH4____20181030T062551_20181030T080721_05418_03_020400_20221115T154904.nc,2018-10-30T06:25:51,7.0x7.0 km2,697675,20253,0,0,0,,
S5P_RPRO_L2__CH4____20181031T024345_20181031T042514_05430_03_020400_20221115T162514.nc,2018-10-31T02:43:45,7.0x7.0 km2,697890,10246,0,0,0,,
S5P_RPRO_L2__CH4____20181031T042514_20181031T060643_05431_03_020400_20221115T162516.nc,2018-10-31T04:25:14,7.0x7.0 km2,697675,39454,10809,4911,3442,0.545656,0.299124
S5P_RPRO_L2__CH4____20181031T060643_20181031T074813_05432_03_020400_20221115T163630.nc,2018-10-31T06:06:43,7.0x7.0 km2,697675,22932,0,0,0,,
S5P_RPRO_L2__CH4____20181101T040606_20181101T054736_05445_03_020400_20221115T171045.nc,2018-11-01T04:06:06,7.0x7.0 km2,697675,29993,11904,4465,2888,0.624916,0.353191
S5P_RPRO_L2__CH4____20181101T054736_20181101T072905_05446_03_020400_20221115T172412.nc,2018-11-01T05:47:36,7.0x7.0 km2,697890,20611,0,0,0,,
S5P_RPRO_L2__CH4____20181102T034658_20181102T052828_05459_03_020400_20221115T181150.nc,2018-11-02T03:46:58,7.0x7.0 km2,697675,22879,8268,1673,894,0.797654,0.465631
S5P_RPRO_L2__CH4____20181102T052828_20181102T070957_05460_03_020400_20221115T181152.nc,2018-11-02T05:28:28,7.0x7.0 km2,697890,26330,0,0,0,,
S5P_RPRO_L2__CH4____20181103T032751_20181103T050920_05473_03_020400_20221115T183414.nc,2018-11-03T03:27:51,7.0x7.0 km2,624575,21210,4408,130,49,0.970508,0.623077
S5P_RPRO_L2__CH4____20181103T050920_20181103T065050_05474_03_020400_20221115T184443.nc,2018-11-03T05:09:20,7.0x7.0 km2,697890,29336,1594,161,55,0.898996,0.658385
S5P_RPRO_L2__CH4____20181104T030843_20181104T045012_05487_03_020400_20221115T195759.nc,2018-11-04T03:08:43,7.0x7.0 km2,697675,20086,1331,1,0,0.999249,1.000000
S5P_RPRO_L2__CH4____20181104T045012_20181104T063142_05488_03_020400_20221115T195800.nc,2018-11-04T04:50:12,7.0x7.0 km2,624575,42142,5267,114,28,0.978356,0.754386
S5P_RPRO_L2__CH4____20181104T063142_20181104T081312_05489_03_020400_20221115T195802.nc,2018-11-04T06:31:42,7.0x7.0 km2,697675,24183,0,0,0,,
S5P_RPRO_L2__CH4____20181105T024936_20181105T043105_05501_03_020400_20221115T202943.nc,2018-11-05T02:49:36,7.0x7.0 km2,697890,18151,10,0,0,1.000000,
S5P_RPRO_L2__CH4____20181105T043105_20181105T061234_05502_03_020400_20221115T202945.nc,2018-11-05T04:31:05,7.0x7.0 km2,697675,34602,9443,12,0,0.998729,1.000000
S5P_RPRO_L2__CH4____20181105T061234_20181105T075404_05503_03_020400_20221118T094924.nc,2018-11-05T06:12:34,7.0x7.0 km2,624790,30437,0,0,0,,
S5P_RPRO_L2__CH4____20181106T041158_20181106T055327_05516_03_020400_20221115T205020.nc,2018-11-06T04:11:58,7.0x7.0 km2,697675,30887,12176,103,10,0.991541,0.902913
S5P_RPRO_L2__CH4____20181106T055327_20181106T073456_05517_03_020400_20221115T205021.nc,2018-11-06T05:53:27,7.0x7.0 km2,697890,39336,0,0,0,,
S5P_RPRO_L2__CH4____20181107T035250_20181107T053420_05530_03_020400_20221115T212158.nc,2018-11-07T03:52:50,7.0x7.0 km2,697675,25507,9740,11,0,0.998871,1.000000
S5P_RPRO_L2__CH4____20181107T053420_20181107T071549_05531_03_020400_20221115T213224.nc,2018-11-07T05:34:20,7.0x7.0 km2,697675,34617,0,0,0,,
