centre_lat,centre_lon,sounding_count,ch4_deseasonalised_ppb,mean_day_of_year,day_of_year_sd,poorly_identified
33.8250,116.6750,243,1895.0346,269.261,69.152,0
33.8250,116.9250,292,1894.6388,272.682,68.021,0
33.8250,117.1750,380,1893.7954,273.862,67.396,0
33.8250,117.4250,356,1893.6801,272.156,68.892,0
33.8250,117.6750,369,1894.1089,269.793,69.766,0
33.8250,117.9250,377,1892.3569,270.287,70.101,0
33.8250,118.1750,260,1892.0223,266.767,70.952,0
33.8250,118.4250,274,1890.8624,270.569,69.779,0
33.8250,118.6750,276,1890.8533,275.242,68.861,0
33.8250,118.9250,314,1890.0023,267.057,76.036,0
33.8250,119.1750,273,1889.4340,270.926,70.688,0
33.8250,119.4250,266,1889.5154,270.159,72.453,0
33.8250,119.6750,256,1891.5131,267.723,72.542,0
33.8250,119.9250,238,1890.3241,275.299,67.138,0
33.8250,120.1750,188,1893.0568,271.757,60.838,0
33.8250,120.4250,34,1896.8990,257.636,50.782,0
33.8250,120.6750,1,1853.2716,220.172,0.000,1
33.8250,120.9250,5,1862.7562,197.167,2.452,1
33.8250,121.1750,23,1858.4791,196.775,2.500,1
33.8250,121.4250,23,1860.8769,197.253,12.129,1
33.8250,121.6750,32,1865.3742,192.041,19.310,0
33.8250,121.9250,64,1862.7917,174.725,36.573,0
33.8250,122.1750,58,1866.3223,171.730,41.148,0
33.8250,122.4250,72,1872.5945,176.884,37.831,0
33.5750,114.9250,282,1892.9512,269.773,67.259,0
33.5750,115.1750,319,1893.4772,271.061,67.776,0
33.5750,115.4250,348,1892.7211,277.389,67.130,0
33.5750,115.6750,335,1892.7245,281.975,65.232,0
33.5750,115.9250,341,1895.0545,275.320,67.062,0
33.5750,116.1750,295,1893.5153,273.661,69.267,0
33.5750,116.4250,313,1896.1563,276.752,64.984,0
33.5750,116.6750,304,1897.3088,273.653,67.483,0
33.5750,116.9250,334,1897.0028,267.739,70.013,0
33.5750,117.1750,237,1899.7006,263.863,75.137,0
33.5750,117.4250,394,1895.9885,270.949,74.675,0
33.5750,117.6750,385,1894.8505,262.195,75.780,0
33.5750,117.9250,358,1896.4262,263.986,75.905,0
33.5750,118.1750,317,1893.1400,266.818,74.433,0
33.5750,118.4250,108,1889.9393,259.257,67.654,0
33.5750,118.6750,62,1893.1386,258.576,76.270,0
33.5750,118.9250,170,1891.4911,260.272,73.775,0
33.5750,119.1750,218,1892.5562,277.157,64.501,0
33.5750,119.4250,234,1891.4752,256.370,75.999,0
33.5750,119.6750,217,1893.4117,273.211,69.903,0
33.5750,119.9250,207,1894.8381,279.192,66.237,0
33.5750,120.1750,169,1897.2658,278.474,63.695,0
33.5750,120.4250,74,1896.3935,272.920,58.021,0
33.5750,120.6750,8,1898.9740,257.402,64.858,0
33.5750,120.9250,1,1896.2536,162.165,0.000,1
33.5750,121.1750,11,1849.3873,198.714,3.343,1
33.5750,121.4250,18,1853.1744,208.167,18.237,0
33.5750,121.6750,32,1847.3926,217.040,21.119,0
33.5750,121.9250,56,1854.4827,193.091,39.442,0
33.5750,122.1750,49,1867.3024,176.977,43.349,0
33.5750,122.4250,43,1866.0208,192.441,39.602,0
33.3250,114.9250,306,1892.9920,268.341,71.924,0
33.3250,115.1750,317,1893.9161,271.938,69.530,0
33.3250,115.4250,325,1892.3280,277.449,65.266,0
33.3250,115.6750,339,1892.4043,276.620,68.458,0
33.3250,115.9250,347,1894.2849,280.160,67.952,0
33.3250,116.1750,336,1895.6831,273.342,71.675,0
33.3250,116.4250,372,1897.4242,270.294,72.196,0
33.3250,116.6750,341,1899.2773,270.467,69.898,0
33.3250,116.9250,365,1899.9572,266.392,72.275,0
33.3250,117.1750,357,1899.9863,268.024,73.113,0
33.3250,117.4250,338,1898.5836,262.625,74.360,0
33.3250,117.6750,274,1895.8646,264.878,75.891,0
33.3250,117.9250,150,1894.9245,263.082,69.629,0
33.3250,118.1750,135,1891.9619,262.396,70.291,0
33.3250,118.4250,42,1888.9065,259.320,73.211,0
33.3250,118.6750,0,,,,
33.3250,118.9250,53,1900.3200,256.364,73.574,0
33.3250,119.1750,78,1892.5972,268.392,67.901,0
33.3250,119.4250,167,1891.2526,263.866,70.885,0
33.3250,119.6750,183,1890.3515,262.200,66.449,0
33.3250,119.9250,182,1893.8279,268.076,67.732,0
33.3250,120.1750,154,1892.5087,283.309,66.812,0
33.3250,120.4250,166,1894.1068,270.809,67.586,0
33.3250,120.6750,21,1898.6899,283.067,27.175,0
33.3250,120.9250,0,,,,
33.3250,121.1750,0,,,,
33.3250,121.4250,9,1854.6381,199.169,0.000,1
33.3250,121.6750,28,1851.5734,214.201,20.586,0
33.3250,121.9250,43,1855.5178,188.140,38.520,0
33.3250,122.1750,64,1866.1053,177.412,39.772,0
33.3250,122.4250,49,1860.4633,188.877,44.333,0
33.0750,114.9250,337,1895.3818,277.355,69.505,0
33.0750,115.1750,324,1895.0234,272.526,71.788,0
33.0750,115.4250,352,1894.0775,269.751,69.822,0
33.0750,115.6750,330,1895.8620,270.640,73.590,0
33.0750,115.9250,329,1896.9753,274.895,72.837,0
33.0750,116.1750,320,1896.3751,281.969,64.795,0
33.0750,116.4250,348,1897.9759,275.411,71.335,0
33.0750,116.6750,374,1901.3038,268.611,71.496,0
33.0750,116.9250,198,1894.8778,238.075,73.597,0
33.0750,117.1750,205,1897.4484,251.555,74.968,0
33.0750,117.4250,236,1897.9593,261.798,75.198,0
33.0750,117.6750,139,1900.0364,258.460,73.837,0
33.0750,117.9250,61,1898.8574,264.881,60.941,0
33.0750,118.1750,67,1894.8816,245.177,74.649,0
33.0750,118.4250,57,1889.0199,268.020,72.305,0
