centre_lat,centre_lon,sounding_count,eastward_wind_mean,eastward_wind_count,northward_wind_mean,northward_wind_count,solar_zenith_angle_mean,solar_zenith_angle_count,surface_albedo_NIR_mean,surface_albedo_NIR_count,surface_albedo_SWIR_mean,surface_albedo_SWIR_count,surface_altitude_mean,surface_altitude_count,surface_pressure_mean,surface_pressure_count,xch4_apriori_mean,xch4_apriori_count,xch4_departure_mean,xch4_departure_count
34.0750,121.9250,54,-1.92124,54,3.28927,54,19.0275,54,0.0096416,54,-0.0342371,54,0,54,100824,54,1859.88,54,0.527718,54
34.0750,122.1750,49,-2.57639,49,3.66523,49,18.956,49,0.0131452,49,-0.0329744,49,0,49,100960,49,1855.31,49,1.26853,49
34.0750,122.4250,73,-2.85267,73,3.62244,73,18.6168,73,0.00890152,73,-0.0337126,73,0,73,100967,73,1860.55,73,2.25771,73
33.8250,114.9250,242,0.63147,242,0.0014943,242,37.516,242,0.297265,242,0.126325,242,48.1465,242,100929,242,1873.84,242,18.9464,242
33.8250,115.1750,357,0.63379,357,0.181097,357,39.5548,357,0.293296,357,0.122791,357,43.6891,357,101083,357,1872.39,357,20.8086,357
33.8250,115.4250,348,0.762259,348,0.0349362,348,41.1845,348,0.272896,348,0.119401,348,40.9641,348,101197,348,1870.05,348,23.1808,348
33.8250,115.6750,310,0.753981,310,0.0785453,310,42.0009,310,0.24235,310,0.124956,310,39.2312,310,101347,310,1867.72,310,24.6591,310
33.8250,115.9250,319,0.619098,319,-0.108837,319,42.1687,319,0.245387,319,0.120631,319,36.8171,319,101419,319,1868.71,319,24.5696,319
33.8250,116.1750,331,0.576133,331,-0.230318,331,43.3185,331,0.245868,331,0.121223,331,33.8776,331,101496,331,1868.55,331,26.93,331
33.8250,116.4250,276,0.801949,276,-0.460554,276,41.5708,276,0.245377,276,0.1211,276,32.0152,276,101489,276,1868.57,276,28.0019,276
33.8250,116.6750,243,0.652017,243,-0.552614,243,41.9077,243,0.250754,243,0.120665,243,30.8457,243,101520,243,1868.48,243,27.5036,243
33.8250,116.9250,292,0.406015,292,-0.543969,292,42.8267,292,0.24173,292,0.124543,292,46.5293,292,101424,292,1867.46,292,27.6363,292
33.8250,117.1750,380,0.258489,380,-0.329616,380,42.6009,380,0.259823,380,0.116426,380,30.7281,380,101557,380,1868.64,380,25.62,380
33.8250,117.4250,356,0.401795,356,-0.491595,356,42.5182,356,0.2539,356,0.114317,356,27.3201,356,101614,356,1867.63,356,25.9763,356
33.8250,117.6750,369,0.32192,369,-0.446583,369,42.1327,369,0.268388,369,0.122706,369,25.2961,369,101627,369,1867.47,369,25.8374,369
33.8250,117.9250,377,0.172066,377,-0.644501,377,42.3014,377,0.269007,377,0.117008,377,21.4315,377,101702,377,1867.71,377,24.0998,377
33.8250,118.1750,260,0.225003,260,-0.607258,260,41.279,260,0.265962,260,0.115491,260,20.3034,260,101618,260,1867.98,260,23.3677,260
33.8250,118.4250,274,0.29962,274,-0.656883,274,41.8473,274,0.252605,274,0.111429,274,18.3149,274,101768,274,1867.54,274,22.4205,274
33.8250,118.6750,276,0.371121,276,-0.976237,276,43.0053,276,0.260974,276,0.112356,276,13.1154,276,101916,276,1867.28,276,23.1751,276
33.8250,118.9250,314,0.421708,314,-0.877868,314,41.5335,314,0.269697,314,0.106407,314,10.0037,314,101901,314,1866.09,314,21.9284,314
33.8250,119.1750,273,0.488335,273,-0.664914,273,41.6758,273,0.267875,273,0.109901,273,7.94335,273,101891,273,1867.54,273,20.5964,273
33.8250,119.4250,266,0.466415,266,-0.857008,266,41.2479,266,0.261825,266,0.0982974,266,4.75665,266,101899,266,1866.71,266,20.693,266
33.8250,119.6750,256,0.469949,256,-1.09046,256,40.7204,256,0.252006,256,0.0944331,256,3.59981,256,101834,256,1865.84,256,23.6936,256
33.8250,119.9250,238,0.65314,238,-1.25091,238,42.5571,238,0.258662,238,0.0920928,238,4.75899,238,101800,238,1865.37,238,24.0473,238
33.8250,120.1750,188,0.912002,188,-0.928693,188,41.0336,188,0.261417,188,0.0930661,188,3.02354,188,101639,188,1867.22,188,26.6871,188
33.8250,120.4250,34,0.762305,34,-1.7619,34,37.1597,34,0.264418,34,0.0717979,34,6.7313,34,101301,34,1869.97,34,32.1877,34
33.8250,120.6750,1,-3.96197,1,3.64906,1,22.2232,1,-0.000626809,1,-0.0402832,1,0,1,100709,1,1882.67,1,-17.6958,1
