quantity,field,window,predictor,cell_set,value,n_cells,pearson,spearman,slope_ppb_per_unit,effective_n,p_nominal,p_corrected,note
bias_corrected flooded_minus_off vs rice_fraction_combined,bias_corrected,flooded_minus_off,rice_fraction_combined,flooded_minus_off pair >= 5,+0.0700,359,0.06996459608341034,0.13608227903912687,5.960350143489884,56.500080582651584,0.1859557905498729,0.6067096140062835,Pearson of the within-cell difference
bias_corrected flooded_minus_off vs impervious_fraction,bias_corrected,flooded_minus_off,impervious_fraction,flooded_minus_off pair >= 1,-0.1061,664,-0.10610740281428427,-0.1743665301836065,-13.166798846324337,44.90273787170581,0.0062044817768422455,0.48835452679520713,Pearson of the within-cell difference
bias_corrected flooded_minus_off vs rice_fraction_single,bias_corrected,flooded_minus_off,rice_fraction_single,flooded_minus_off pair >= 1,+0.0893,449,0.08927111115316555,0.13538074026938166,10.366367255462587,40.36219425532081,0.05874148284570599,0.5820238531392893,Pearson of the within-cell difference
bias_corrected flooded_minus_off vs rice_fraction_combined,bias_corrected,flooded_minus_off,rice_fraction_combined,flooded_minus_off pair >= 1,+0.1042,449,0.10415262725472876,0.1464122653515749,11.878923192580693,44.211908557880285,0.027327508370340967,0.499974329930952,Pearson of the within-cell difference
bias_corrected growing_minus_off vs impervious_fraction,bias_corrected,growing_minus_off,impervious_fraction,every window >= 15,-0.0535,366,-0.05345866222289235,-0.1370987687937777,-6.066435819720823,38.857554746954406,0.3077495642725992,0.7470077874674665,Pearson of the within-cell difference
bias_corrected growing_minus_off vs rice_fraction_single,bias_corrected,growing_minus_off,rice_fraction_single,every window >= 15,+0.2214,262,0.221357486106854,0.22172701708240883,19.084946945517718,31.673631046975675,0.00030531710596872435,0.22597589413042238,Pearson of the within-cell difference
bias_corrected growing_minus_off vs rice_fraction_combined,bias_corrected,growing_minus_off,rice_fraction_combined,every window >= 15,+0.2464,262,0.24643213549586332,0.2444125947359238,20.76983600542549,32.13466319148385,5.5271807801555546e-05,0.17296341059413806,Pearson of the within-cell difference
bias_corrected growing_minus_off vs impervious_fraction,bias_corrected,growing_minus_off,impervious_fraction,growing_minus_off pair >= 15,-0.0538,414,-0.05383834973133215,-0.16419103088847656,-6.087513465483082,36.40640613839552,0.27442494981308724,0.7537173176570051,Pearson of the within-cell difference
bias_corrected growing_minus_off vs rice_fraction_single,bias_corrected,growing_minus_off,rice_fraction_single,growing_minus_off pair >= 15,+0.1321,285,0.1320692128545058,0.13079722353258305,11.772666187410346,36.733177010899134,0.025776587646749043,0.4376445891993197,Pearson of the within-cell difference
bias_corrected growing_minus_off vs rice_fraction_combined,bias_corrected,growing_minus_off,rice_fraction_combined,growing_minus_off pair >= 15,+0.1599,285,0.15989994065256644,0.15662262126309567,13.970248508817015,39.82376385446815,0.006830762479105076,0.3254745410141625,Pearson of the within-cell difference
bias_corrected growing_minus_off vs impervious_fraction,bias_corrected,growing_minus_off,impervious_fraction,growing_minus_off pair >= 10,-0.1734,489,-0.1733522487549855,-0.266503765339989,-18.165828164318,30.103844016076405,0.00011677700821299319,0.3587057140823919,Pearson of the within-cell difference
bias_corrected growing_minus_off vs rice_fraction_single,bias_corrected,growing_minus_off,rice_fraction_single,growing_minus_off pair >= 10,+0.0775,330,0.0774640808829409,0.08804939355816774,7.687691934078949,42.819868126583124,0.1603260823248811,0.6222658224257005,Pearson of the within-cell difference
bias_corrected growing_minus_off vs rice_fraction_combined,bias_corrected,growing_minus_off,rice_fraction_combined,growing_minus_off pair >= 10,+0.1109,330,0.11090294266615087,0.1200637120801677,10.780301068680847,49.20991212746983,0.04409130855135975,0.4470546401736571,Pearson of the within-cell difference
bias_corrected growing_minus_off vs impervious_fraction,bias_corrected,growing_minus_off,impervious_fraction,growing_minus_off pair >= 5,-0.1804,571,-0.18036911053635069,-0.2793331472656756,-18.486597326078396,27.34602589117324,1.4496857839450956e-05,0.3646051796046051,Pearson of the within-cell difference
bias_corrected growing_minus_off vs rice_fraction_single,bias_corrected,growing_minus_off,rice_fraction_single,growing_minus_off pair >= 5,-0.0279,385,-0.02793550165698476,0.00034864746652311414,-2.980135267094402,42.58980191280338,0.5847508327121954,0.8595717678707393,Pearson of the within-cell difference
bias_corrected growing_minus_off vs rice_fraction_combined,bias_corrected,growing_minus_off,rice_fraction_combined,growing_minus_off pair >= 5,+0.0053,385,0.005263614457052885,0.035392554336854856,0.5506585684293646,50.82174913803858,0.9180070501466221,0.9708114051600667,Pearson of the within-cell difference
bias_corrected growing_minus_off vs impervious_fraction,bias_corrected,growing_minus_off,impervious_fraction,growing_minus_off pair >= 1,-0.1462,700,-0.1461718412772197,-0.2620913803614176,-19.42678892901353,43.03533280515348,0.00010390081959172442,0.349420991456809,Pearson of the within-cell difference
