variant,model,scheme,weighting,n,held_out_r2,delta_vs_committed,delta_vs_matched,comparison,soundings,basis
SWIR albedo at least 0.05,"OLS wind (u, v, speed)",leave-one-province-out,unweighted,752,0.0375,-0.5957,-0.0603,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,"OLS wind (u, v, speed)",leave-one-province-out,by sounding count,752,-0.2652,-0.5762,+0.2134,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,"OLS wind (u, v, speed)",spatial blocks,unweighted,752,-0.0225,-0.6752,-0.1759,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,"OLS wind (u, v, speed)",spatial blocks,by sounding count,752,-0.1599,-0.7226,-0.1212,matched reference on the 752 surviving cells,99213,filter
both filters,constant (global mean),leave-one-province-out,unweighted,752,-0.0086,+0.1638,+0.0073,matched reference on the 752 surviving cells,99213,filter
both filters,constant (global mean),leave-one-province-out,by sounding count,752,-0.0308,+0.0545,+0.0803,matched reference on the 752 surviving cells,99213,filter
both filters,constant (global mean),spatial blocks,unweighted,752,-0.0062,+0.0022,+0.0017,matched reference on the 752 surviving cells,99213,filter
both filters,constant (global mean),spatial blocks,by sounding count,752,-0.0081,-0.0050,+0.0070,matched reference on the 752 surviving cells,99213,filter
both filters,spatial null (queen neighbour mean),leave-one-province-out,unweighted,752,0.0191,+0.1103,+0.0002,matched reference on the 752 surviving cells,99213,filter
both filters,spatial null (queen neighbour mean),leave-one-province-out,by sounding count,752,0.0400,+0.0372,+0.0348,matched reference on the 752 surviving cells,99213,filter
both filters,spatial null (queen neighbour mean),spatial blocks,unweighted,752,0.0384,-0.2940,-0.0815,matched reference on the 752 surviving cells,99213,filter
both filters,spatial null (queen neighbour mean),spatial blocks,by sounding count,752,0.1064,-0.4073,-0.1588,matched reference on the 752 surviving cells,99213,filter
both filters,OLS impervious_fraction,leave-one-province-out,unweighted,752,-0.0083,+0.1091,+0.0613,matched reference on the 752 surviving cells,99213,filter
both filters,OLS impervious_fraction,leave-one-province-out,by sounding count,752,-0.0809,+0.0811,+0.1287,matched reference on the 752 surviving cells,99213,filter
both filters,OLS impervious_fraction,spatial blocks,unweighted,752,0.0271,-0.0576,+0.0077,matched reference on the 752 surviving cells,99213,filter
both filters,OLS impervious_fraction,spatial blocks,by sounding count,752,-0.0043,-0.0287,+0.0247,matched reference on the 752 surviving cells,99213,filter
both filters,OLS rice_fraction_single,leave-one-province-out,unweighted,498,-0.2087,-0.1413,+0.0419,matched reference on the 752 surviving cells,99213,filter
both filters,OLS rice_fraction_single,leave-one-province-out,by sounding count,498,-0.2212,+0.1928,+0.2393,matched reference on the 752 surviving cells,99213,filter
both filters,OLS rice_fraction_single,spatial blocks,unweighted,498,-0.0559,-0.0245,-0.0133,matched reference on the 752 surviving cells,99213,filter
both filters,OLS rice_fraction_single,spatial blocks,by sounding count,498,-0.0252,+0.0673,+0.0081,matched reference on the 752 surviving cells,99213,filter
both filters,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,unweighted,498,-0.2682,-0.1392,+0.0925,matched reference on the 752 surviving cells,99213,filter
both filters,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,by sounding count,498,-0.5901,+0.2553,+0.3030,matched reference on the 752 surviving cells,99213,filter
