model,scheme,weighting,n,dropped_missing,in_sample_rmse_ppb,in_sample_r2,held_out_rmse_ppb,held_out_r2,detail
OLS wind + both fractions,leave-one-province-out,by sounding count,531,395,4.3287,0.1108,6.8831,-1.2483,intercept +1884.9031; wind_u +0.4613; wind_v -1.6040; wind_speed -3.1753; impervious_fraction -0.5318; rice_fraction_single -3.7584
OLS wind + both fractions,spatial blocks,unweighted,531,395,8.2009,0.3874,8.5301,0.3372,intercept +1879.5870; wind_u +3.5894; wind_v -2.9911; wind_speed -0.8922; impervious_fraction -4.1107; rice_fraction_single +1.3149
OLS wind + both fractions,spatial blocks,by sounding count,531,395,4.3287,0.1108,4.6284,-0.0166,intercept +1884.9031; wind_u +0.4613; wind_v -1.6040; wind_speed -3.1753; impervious_fraction -0.5318; rice_fraction_single -3.7584
OLS full covariates + both fractions,leave-one-province-out,unweighted,531,395,7.3618,0.5063,10.51,-0.0062,intercept +4536.8731; wind_u +2.3887; wind_v -3.0781; wind_speed -0.8479; surface_albedo_SWIR +73.3854; surface_albedo_NIR +6.3907; solar_zenith_angle +0.9608; surface_altitude -0.2991; surface_pressure -0.0266; impervious_fraction +1.0888; rice_fraction_single +5.6568
OLS full covariates + both fractions,leave-one-province-out,by sounding count,531,395,4.0839,0.2085,7.6538,-1.78,intercept +3914.9300; wind_u +0.0181; wind_v -2.3706; wind_speed -3.6832; surface_albedo_SWIR +17.4276; surface_albedo_NIR -8.8308; solar_zenith_angle +0.8095; surface_altitude -0.2431; surface_pressure -0.0203; impervious_fraction +2.0448; rice_fraction_single -0.9956
OLS full covariates + both fractions,spatial blocks,unweighted,531,395,7.3618,0.5063,8.4522,0.3493,intercept +4536.8731; wind_u +2.3887; wind_v -3.0781; wind_speed -0.8479; surface_albedo_SWIR +73.3854; surface_albedo_NIR +6.3907; solar_zenith_angle +0.9608; surface_altitude -0.2991; surface_pressure -0.0266; impervious_fraction +1.0888; rice_fraction_single +5.6568
OLS full covariates + both fractions,spatial blocks,by sounding count,531,395,4.0839,0.2085,4.6502,-0.0262,intercept +3914.9300; wind_u +0.0181; wind_v -2.3706; wind_speed -3.6832; surface_albedo_SWIR +17.4276; surface_albedo_NIR -8.8308; solar_zenith_angle +0.8095; surface_altitude -0.2431; surface_pressure -0.0203; impervious_fraction +2.0448; rice_fraction_single -0.9956
OLS wind + trend surface,leave-one-province-out,unweighted,926,0,7.6082,0.7711,8.4855,0.7153,intercept +2083.6215; wind_u +3.4335; wind_v -3.6668; wind_speed +0.3564; centre_lat +0.5638; centre_lon -1.8985
OLS wind + trend surface,leave-one-province-out,by sounding count,926,0,4.1881,0.7617,5.1639,0.6377,intercept +2136.4619; wind_u +3.1510; wind_v -2.6153; wind_speed -1.0329; centre_lat -0.3741; centre_lon -2.0700
OLS wind + trend surface,spatial blocks,unweighted,926,0,7.6082,0.7711,7.8818,0.7543,intercept +2083.6215; wind_u +3.4335; wind_v -3.6668; wind_speed +0.3564; centre_lat +0.5638; centre_lon -1.8985
OLS wind + trend surface,spatial blocks,by sounding count,926,0,4.1881,0.7617,4.3117,0.7474,intercept +2136.4619; wind_u +3.1510; wind_v -2.6153; wind_speed -1.0329; centre_lat -0.3741; centre_lon -2.0700
OLS sampling composition (when observed),leave-one-province-out,unweighted,926,0,10.5208,0.5623,12.9556,0.3362,intercept +1876.2561; sampling_season +1.2394
OLS sampling composition (when observed),leave-one-province-out,by sounding count,926,0,6.1684,0.4831,9.7136,-0.2818,intercept +1877.4254; sampling_season +1.2094
OLS sampling composition (when observed),spatial blocks,unweighted,926,0,10.5208,0.5623,10.5604,0.559,intercept +1876.2561; sampling_season +1.2394
OLS sampling composition (when observed),spatial blocks,by sounding count,926,0,6.1684,0.4831,6.2661,0.4666,intercept +1877.4254; sampling_season +1.2094
