predictors,model,scheme,weighting,n,in_sample_rmse_ppb,in_sample_r2,held_out_rmse_ppb,held_out_r2,beats_spatial_null
gaia+glorice,constant (global mean) [rice sample],leave-one-province-out,by sounding count,927,7.7898,0.0,8.1241,-0.0877,no
gaia+glorice,constant (global mean) [rice sample],spatial blocks,unweighted,927,14.8652,0.0,14.9255,-0.0081,no
gaia+glorice,constant (global mean) [rice sample],spatial blocks,by sounding count,927,7.7898,0.0,7.8017,-0.003,no
gaia+glorice,constant (per province) [rice sample],leave-one-province-out,unweighted,927,13.8694,0.1295,16.0732,-0.1691,no
gaia+glorice,constant (per province) [rice sample],leave-one-province-out,by sounding count,927,7.5029,0.0723,8.1241,-0.0877,no
gaia+glorice,constant (per province) [rice sample],spatial blocks,unweighted,927,13.8694,0.1295,14.1014,0.1001,no
gaia+glorice,constant (per province) [rice sample],spatial blocks,by sounding count,927,7.5029,0.0723,7.562,0.0576,no
gaia+glorice,spatial null (queen neighbour mean) [rice sample],leave-one-province-out,unweighted,927,8.3568,0.684,15.5183,-0.0898,no
gaia+glorice,spatial null (queen neighbour mean) [rice sample],leave-one-province-out,by sounding count,927,2.677,0.8819,7.7975,-0.002,no
gaia+glorice,spatial null (queen neighbour mean) [rice sample],spatial blocks,unweighted,927,8.3568,0.684,12.024,0.3457,no
gaia+glorice,spatial null (queen neighbour mean) [rice sample],spatial blocks,by sounding count,927,2.677,0.8819,5.4553,0.5096,no
gaia+glorice,OLS impervious_fraction [rice sample],leave-one-province-out,unweighted,927,13.9476,0.1197,15.6737,-0.1117,no
gaia+glorice,OLS impervious_fraction [rice sample],leave-one-province-out,by sounding count,927,7.6059,0.0467,8.4092,-0.1653,no
gaia+glorice,OLS impervious_fraction [rice sample],spatial blocks,unweighted,927,13.9476,0.1197,14.2161,0.0854,no
gaia+glorice,OLS impervious_fraction [rice sample],spatial blocks,by sounding count,927,7.6059,0.0467,7.6883,0.0259,no
gaia+glorice,OLS rice_fraction_single,leave-one-province-out,unweighted,927,13.6349,0.1587,16.041,-0.1644,no
gaia+glorice,OLS rice_fraction_single,leave-one-province-out,by sounding count,927,7.668,0.031,8.6219,-0.225,no
gaia+glorice,OLS rice_fraction_single,spatial blocks,unweighted,927,13.6349,0.1587,13.7006,0.1505,no
gaia+glorice,OLS rice_fraction_single,spatial blocks,by sounding count,927,7.668,0.031,7.717,0.0186,no
gaia+glorice,OLS rice_fraction_combined,leave-one-province-out,unweighted,927,13.6349,0.1587,16.041,-0.1644,no
gaia+glorice,OLS rice_fraction_combined,leave-one-province-out,by sounding count,927,7.668,0.031,8.6219,-0.225,no
gaia+glorice,OLS rice_fraction_combined,spatial blocks,unweighted,927,13.6349,0.1587,13.7006,0.1505,no
gaia+glorice,OLS rice_fraction_combined,spatial blocks,by sounding count,927,7.668,0.031,7.717,0.0186,no
gaia+glorice,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,unweighted,927,13.2717,0.2029,16.0714,-0.1689,no
gaia+glorice,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,by sounding count,927,7.5246,0.067,8.9795,-0.3288,no
gaia+glorice,OLS impervious_fraction + rice_fraction_single,spatial blocks,unweighted,927,13.2717,0.2029,13.4869,0.1768,no
gaia+glorice,OLS impervious_fraction + rice_fraction_single,spatial blocks,by sounding count,927,7.5246,0.067,7.6383,0.0385,no
gaia+glorice,OLS impervious_fraction + rice_fraction_single + interaction,leave-one-province-out,unweighted,927,12.2993,0.3154,14.8455,0.0026,yes
gaia+glorice,OLS impervious_fraction + rice_fraction_single + interaction,leave-one-province-out,by sounding count,927,7.1281,0.1627,8.451,-0.1769,no
gaia+glorice,OLS impervious_fraction + rice_fraction_single + interaction,spatial blocks,unweighted,927,12.2993,0.3154,12.8296,0.2551,no
