centre_lat,centre_lon,sounding_count,ch4_blended_ppb
33.0750,114.9250,337,1886.13
33.0750,115.1750,324,1883.90
33.0750,115.4250,352,1884.52
33.0750,115.6750,330,1884.94
33.0750,115.9250,329,1884.91
33.0750,116.1750,320,1886.31
33.0750,116.4250,348,1887.52
33.0750,116.6750,374,1890.68
33.0750,116.9250,198,1889.66
33.0750,117.1750,205,1888.71
33.0750,117.4250,236,1888.93
33.0750,117.6750,139,1893.75
33.0750,117.9250,61,1895.04
33.0750,118.1750,67,1887.04
33.0750,118.4250,57,1885.56
33.0750,118.6750,49,1875.34
33.0750,118.9250,90,1883.38
33.0750,119.1750,64,1881.54
33.0750,119.4250,116,1878.80
33.0750,119.6750,152,1878.02
33.0750,119.9250,139,1881.84
33.0750,120.1750,209,1880.53
33.0750,120.4250,190,1879.02
33.0750,120.6750,99,1881.24
33.0750,120.9250,5,1905.45
33.0750,121.1750,0,
33.0750,121.4250,7,1835.58
33.0750,121.6750,28,1832.77
33.0750,121.9250,42,1836.02
33.0750,122.1750,47,1842.72
33.0750,122.4250,45,1850.11
32.8250,114.9250,285,1885.48
32.8250,115.1750,332,1885.41
32.8250,115.4250,347,1884.43
32.8250,115.6750,321,1884.81
32.8250,115.9250,345,1885.46
32.8250,116.1750,224,1886.00
32.8250,116.4250,177,1893.61
32.8250,116.6750,167,1894.81
32.8250,116.9250,188,1894.28
32.8250,117.1750,145,1889.92
32.8250,117.4250,243,1883.07
32.8250,117.6750,223,1882.52
32.8250,117.9250,142,1882.40
32.8250,118.1750,127,1881.00
32.8250,118.4250,200,1881.26
32.8250,118.6750,189,1879.33
32.8250,118.9250,202,1879.08
32.8250,119.1750,7,1880.80
32.8250,119.4250,31,1880.35
32.8250,119.6750,244,1878.50
32.8250,119.9250,222,1881.87
32.8250,120.1750,198,1881.11
32.8250,120.4250,181,1878.19
32.8250,120.6750,157,1879.24
32.8250,120.9250,19,1885.93
32.8250,121.1750,0,
32.8250,121.4250,2,1837.34
32.8250,121.6750,26,1836.32
32.8250,121.9250,40,1838.61
32.8250,122.1750,49,1849.82
32.8250,122.4250,40,1851.40
32.5750,114.9250,298,1888.23
32.5750,115.1750,345,1884.25
32.5750,115.4250,342,1885.54
32.5750,115.6750,315,1886.37
32.5750,115.9250,226,1888.05
32.5750,116.1750,161,1892.17
32.5750,116.4250,135,1895.55
32.5750,116.6750,105,1895.51
32.5750,116.9250,85,1893.89
32.5750,117.1750,171,1893.01
32.5750,117.4250,227,1884.27
32.5750,117.6750,213,1881.99
32.5750,117.9250,245,1879.64
32.5750,118.1750,283,1881.96
32.5750,118.4250,297,1880.17
32.5750,118.6750,244,1878.06
32.5750,118.9250,219,1880.20
32.5750,119.1750,218,1878.71
32.5750,119.4250,64,1878.52
32.5750,119.6750,247,1878.38
32.5750,119.9250,248,1881.13
32.5750,120.1750,203,1881.98
32.5750,120.4250,147,1880.35
32.5750,120.6750,146,1878.23
32.5750,120.9250,40,1878.73
32.5750,121.1750,2,1907.45
32.5750,121.4250,3,1840.49
32.5750,121.6750,27,1838.46
32.5750,121.9250,39,1838.12
32.5750,122.1750,47,1840.38
32.5750,122.4250,26,1838.74
32.3250,114.9250,305,1887.12
32.3250,115.1750,284,1884.95
32.3250,115.4250,298,1885.17
32.3250,115.6750,296,1884.95
32.3250,115.9250,236,1885.21
32.3250,116.1750,54,1885.81
32.3250,116.4250,40,1889.67
32.3250,116.6750,86,1890.22
32.3250,116.9250,15,1911.67
32.3250,117.1750,221,1888.09
32.3250,117.4250,264,1886.84
32.3250,117.6750,230,1880.64
32.3250,117.9250,268,1880.54
32.3250,118.1750,243,1880.67
32.3250,118.4250,187,1881.60
32.3250,118.6750,259,1882.53
32.3250,118.9250,227,1881.83
32.3250,119.1750,153,1879.90
32.3250,119.4250,133,1878.96
32.3250,119.6750,84,1880.51
32.3250,119.9250,165,1878.94
32.3250,120.1750,233,1880.63
32.3250,120.4250,174,1879.64
32.3250,120.6750,148,1877.91
32.3250,120.9250,131,1880.80
32.3250,121.1750,87,1880.23
32.3250,121.4250,4,1886.28
32.3250,121.6750,11,1844.75
32.3250,121.9250,34,1836.22
32.3250,122.1750,43,1842.68
32.3250,122.4250,26,1839.15
32.0750,114.9250,257,1883.89
32.0750,115.1750,303,1885.44
32.0750,115.4250,322,1883.94
32.0750,115.6750,296,1883.99
32.0750,115.9250,295,1883.55
32.0750,116.1750,258,1884.23
32.0750,116.4250,227,1883.34
32.0750,116.6750,282,1886.77
32.0750,116.9250,306,1886.42
